logs__queries__correct,logs__queries__error,logs__users,logs__timestamp,dia,mes,aux,año,time,hora,min
177,3,180,5/8/18 3:45,5,8,18 3:45,18,3:45,3,45
133,2,135,5/8/18 4:00,5,8,18 4:00,18,4:00,4,0
117,1,118,5/8/18 4:15,5,8,18 4:15,18,4:15,4,15
119,0,119,5/8/18 4:30,5,8,18 4:30,18,4:30,4,30
128,1,129,5/8/18 4:45,5,8,18 4:45,18,4:45,4,45
116,1,117,5/8/18 5:00,5,8,18 5:00,18,5:00,5,0
104,0,104,5/8/18 5:15,5,8,18 5:15,18,5:15,5,15
96,0,96,5/8/18 5:30,5,8,18 5:30,18,5:30,5,30
67,1,68,5/8/18 5:45,5,8,18 5:45,18,5:45,5,45
65,1,66,5/8/18 6:00,5,8,18 6:00,18,6:00,6,0
79,1,80,5/8/18 6:15,5,8,18 6:15,18,6:15,6,15
64,1,65,5/8/18 6:34,5,8,18 6:34,18,6:34,6,34
58,1,59,5/8/18 6:45,5,8,18 6:45,18,6:45,6,45
54,0,54,5/8/18 7:00,5,8,18 7:00,18,7:00,7,0
51,0,51,5/8/18 7:15,5,8,18 7:15,18,7:15,7,15
69,0,69,5/8/18 7:30,5,8,18 7:30,18,7:30,7,30
73,0,73,5/8/18 7:45,5,8,18 7:45,18,7:45,7,45
56,0,56,5/8/18 8:00,5,8,18 8:00,18,8:00,8,0
69,1,70,5/8/18 8:15,5,8,18 8:15,18,8:15,8,15
76,1,75,5/8/18 8:30,5,8,18 8:30,18,8:30,8,30
102,1,103,5/8/18 8:45,5,8,18 8:45,18,8:45,8,45
77,0,77,5/8/18 9:00,5,8,18 9:00,18,9:00,9,0
92,0,92,5/8/18 9:15,5,8,18 9:15,18,9:15,9,15
96,2,98,5/8/18 9:30,5,8,18 9:30,18,9:30,9,30
106,0,106,5/8/18 9:45,5,8,18 9:45,18,9:45,9,45
84,0,84,5/8/18 10:00,5,8,18 10:00,18,10:00,10,0
94,0,94,5/8/18 10:15,5,8,18 10:15,18,10:15,10,15
113,1,114,5/8/18 10:30,5,8,18 10:30,18,10:30,10,30
142,4,146,5/8/18 10:45,5,8,18 10:45,18,10:45,10,45
118,2,120,5/8/18 11:00,5,8,18 11:00,18,11:00,11,0
149,0,149,5/8/18 11:15,5,8,18 11:15,18,11:15,11,15
165,1,166,5/8/18 11:30,5,8,18 11:30,18,11:30,11,30
197,3,194,5/8/18 11:45,5,8,18 11:45,18,11:45,11,45
170,2,172,5/8/18 12:00,5,8,18 12:00,18,12:00,12,0
165,4,169,5/8/18 12:15,5,8,18 12:15,18,12:15,12,15
201,5,206,5/8/18 12:30,5,8,18 12:30,18,12:30,12,30
248,4,252,5/8/18 12:45,5,8,18 12:45,18,12:45,12,45
231,4,232,5/8/18 13:00,5,8,18 13:00,18,13:00,13,0
233,0,233,5/8/18 13:15,5,8,18 13:15,18,13:15,13,15
250,1,251,5/8/18 13:30,5,8,18 13:30,18,13:30,13,30
287,2,289,5/8/18 13:45,5,8,18 13:45,18,13:45,13,45
259,1,260,5/8/18 14:00,5,8,18 14:00,18,14:00,14,0
289,1,290,5/8/18 14:15,5,8,18 14:15,18,14:15,14,15
239,4,243,5/8/18 14:30,5,8,18 14:30,18,14:30,14,30
242,3,244,5/8/18 14:45,5,8,18 14:45,18,14:45,14,45
232,0,232,5/8/18 15:00,5,8,18 15:00,18,15:00,15,0
232,0,232,5/8/18 15:15,5,8,18 15:15,18,15:15,15,15
274,6,279,5/8/18 15:30,5,8,18 15:30,18,15:30,15,30
268,1,269,5/8/18 15:45,5,8,18 15:45,18,15:45,15,45
243,4,247,5/8/18 16:00,5,8,18 16:00,18,16:00,16,0
259,3,254,5/8/18 16:15,5,8,18 16:15,18,16:15,16,15
252,4,256,5/8/18 16:30,5,8,18 16:30,18,16:30,16,30
248,1,249,5/8/18 16:45,5,8,18 16:45,18,16:45,16,45
238,5,243,5/8/18 17:00,5,8,18 17:00,18,17:00,17,0
220,5,225,5/8/18 17:15,5,8,18 17:15,18,17:15,17,15
242,6,248,5/8/18 17:30,5,8,18 17:30,18,17:30,17,30
241,5,243,5/8/18 17:45,5,8,18 17:45,18,17:45,17,45
216,3,219,5/8/18 18:00,5,8,18 18:00,18,18:00,18,0
293,4,297,5/8/18 18:15,5,8,18 18:15,18,18:15,18,15
323,5,328,5/8/18 18:30,5,8,18 18:30,18,18:30,18,30
293,5,298,5/8/18 18:45,5,8,18 18:45,18,18:45,18,45
301,4,305,5/8/18 19:00,5,8,18 19:00,18,19:00,19,0
278,3,281,5/8/18 19:15,5,8,18 19:15,18,19:15,19,15
332,1,333,5/8/18 19:30,5,8,18 19:30,18,19:30,19,30
351,1,346,5/8/18 19:45,5,8,18 19:45,18,19:45,19,45
316,0,316,5/8/18 20:00,5,8,18 20:00,18,20:00,20,0
369,0,369,5/8/18 20:15,5,8,18 20:15,18,20:15,20,15
312,4,316,5/8/18 20:30,5,8,18 20:30,18,20:30,20,30
348,3,351,5/8/18 20:45,5,8,18 20:45,18,20:45,20,45
347,1,348,5/8/18 21:00,5,8,18 21:00,18,21:00,21,0
388,7,395,5/8/18 21:15,5,8,18 21:15,18,21:15,21,15
395,6,401,5/8/18 21:30,5,8,18 21:30,18,21:30,21,30
431,1,432,5/8/18 21:45,5,8,18 21:45,18,21:45,21,45
415,4,419,5/8/18 22:00,5,8,18 22:00,18,22:00,22,0
400,7,407,5/8/18 22:15,5,8,18 22:15,18,22:15,22,15
402,8,410,5/8/18 22:30,5,8,18 22:30,18,22:30,22,30
368,6,374,5/8/18 22:45,5,8,18 22:45,18,22:45,22,45
